User_ID,Gender,Age,Occupation,City_Category,Purchase
1,M,21,8,C,8837
2,F,24,16,C,14396
3,M,52,8,C,9354
4,M,26,2,A,16251
5,M,25,10,B,4529
6,F,34,11,B,15209
7,M,34,9,B,19814
8,M,50,16,C,5912
9,M,49,16,B,19916
10,F,25,10,B,13316
11,M,36,3,B,3421
12,M,55,6,B,15510
13,M,20,13,B,13152
14,M,22,6,A,7617
15,F,30,7,B,3195
16,M,48,0,A,8229
17,F,33,3,B,7305
18,F,49,11,A,10077
19,F,39,2,B,17880
20,M,46,12,B,11345
21,F,39,19,B,19226
22,M,20,5,B,7200
23,F,27,10,C,11874
24,F,59,3,B,2294
25,F,38,19,A,8097
26,F,33,15,C,8412
27,F,29,6,C,10836
28,F,19,10,B,13825
29,F,58,0,A,8678
30,F,41,6,A,17735
31,M,52,11,C,7743
32,M,47,6,A,18494
33,F,47,6,B,10775
34,F,52,9,B,13417
35,F,36,15,B,11678
36,M,25,7,B,6864
37,F,43,8,B,15467
38,M,57,8,C,3648
39,M,24,1,B,17677
40,M,47,12,B,17918
41,M,24,12,C,4381
42,M,20,3,C,18489
43,F,18,11,C,13745
44,F,53,16,A,7818
45,F,42,1,A,11886
46,F,54,12,B,2381
47,F,18,17,B,6356
48,M,32,14,B,7918
49,F,54,7,A,3316
50,F,30,14,B,7454
51,M,57,0,B,15107
52,F,25,19,A,6074
53,M,22,9,C,16811
54,F,26,11,A,19290
55,M,18,4,B,9621
56,F,53,8,A,19046
57,F,52,7,C,18126
58,M,19,15,C,10654
59,M,57,13,C,14872
60,M,40,12,C,19326
61,M,26,12,C,16951
62,M,51,4,C,10349
63,M,31,15,B,19710
64,M,21,10,B,12909
65,M,47,4,A,12760
66,F,48,12,B,13584
67,F,55,10,C,4106
68,M,28,18,B,15669
69,F,52,2,A,4938
70,F,25,14,C,4483
71,F,20,6,B,3375
72,F,31,6,B,12015
73,M,30,5,A,18628
74,F,49,2,C,17060
75,M,51,12,A,18863
76,F,36,6,C,12654
77,F,55,4,C,16253
78,F,33,17,B,13565
79,M,19,7,A,2087
80,F,57,16,A,11432
81,M,34,19,A,10764
82,F,51,0,C,2178
83,M,59,13,A,18546
84,F,33,16,C,4640
85,M,55,9,A,11197
86,M,19,11,A,4421
87,F,19,15,B,12947
88,M,43,13,A,3217
89,F,30,15,B,4474
90,F,48,7,B,2929
91,F,51,9,C,9958
92,F,56,16,A,3502
93,F,20,17,A,2420
94,F,25,19,A,15580
95,F,40,15,B,17840
96,F,31,16,A,7830
97,F,44,15,C,19833
98,F,46,18,C,7811
99,F,56,7,A,10619
100,M,56,5,B,15527
101,M,18,5,C,18223
102,F,34,8,C,2106
103,F,58,3,B,6049
104,F,47,11,C,10289
105,F,30,11,B,3903
106,F,38,16,C,13493
107,F,36,14,B,7376
108,F,36,8,C,2042
109,F,42,6,A,3577
110,M,39,9,C,14382
111,F,48,15,C,7885
112,M,34,11,A,10576
113,F,40,6,A,15106
114,F,49,17,A,13663
115,M,27,14,A,5577
116,F,27,5,B,18142
117,M,53,11,B,7244
118,F,25,10,C,4134
119,F,37,19,C,5892
120,M,49,2,C,6321
121,F,31,1,B,7776
122,M,45,5,C,12584
123,F,41,4,C,18119
124,M,32,17,B,7828
125,M,39,15,C,2295
126,F,47,7,B,2413
127,F,21,19,B,12187
128,M,30,10,A,16316
129,F,40,9,A,8668
130,F,25,11,B,17344
131,F,35,5,B,10195
132,M,29,19,A,18561
133,M,48,4,C,6354
134,M,31,8,C,7482
135,M,51,15,C,18076
136,M,35,13,B,17376
137,M,51,7,A,5271
138,M,28,19,C,12674
139,M,58,18,A,7392
140,M,29,13,A,18673
141,F,32,6,B,16309
142,M,48,4,C,18791
143,F,46,17,A,2693
144,F,43,1,B,3169
145,F,35,10,B,10623
146,M,49,7,B,9782
147,M,39,0,C,15856
148,M,55,11,C,11174
149,M,34,1,B,13352
150,F,40,17,C,7530
151,M,41,6,C,6992
152,M,25,16,A,5312
153,M,58,13,B,15065
154,M,23,6,B,6318
155,M,22,2,C,16059
156,F,46,5,B,3688
157,M,45,19,B,2467
158,F,28,1,B,11537
159,M,18,16,C,4422
160,F,36,11,C,16604
161,M,26,11,C,6721
162,M,44,16,A,11203
163,F,51,9,B,9541
164,F,21,2,A,11869
165,F,53,19,C,16785
166,M,35,17,A,15679
167,F,32,12,B,14542
168,M,30,11,B,19870
169,M,36,16,C,16461
170,F,23,3,C,13038
171,F,29,9,A,14252
172,M,54,10,C,11770
173,M,34,5,A,5749
174,F,40,5,B,13817
175,F,43,8,B,4503
176,F,46,14,B,9855
177,M,50,1,B,15378
178,M,44,3,B,13329
179,M,42,4,A,13101
180,M,27,16,B,18783
181,M,40,7,A,14149
182,M,38,7,B,16619
183,F,38,11,A,19923
184,M,30,7,A,16985
185,M,54,18,A,17026
186,M,50,2,C,10428
187,F,41,17,A,11119
188,M,28,18,A,6124
189,M,34,18,B,18375
190,F,21,14,A,2449
191,M,42,5,A,18763
192,M,47,15,C,17034
193,M,26,7,B,11442
194,M,38,15,C,14643
195,M,37,17,C,4301
196,F,36,19,C,9710
197,F,36,15,A,7792
198,F,29,10,C,11659
199,M,54,6,C,9216
200,M,59,16,B,13712
